Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
C-146-03,Bridge,342464.7587,3311721.108,5,0.82,0.6,3,,
C-146-03,Tracker,342462.7997,3311675.69,6,45,3.92,2,,
C-146-03,Bridge,342464.7587,3311675.35,7,0.82,0.6,3,,
C-146-03,Tracker,342462.7997,3311644.947,8,30,3.92,2,,
C-147-01,Tracker,342473.5997,3312265.194,0,45,3.92,2,,
C-147-01,Bridge,342475.5587,3312264.854,1,0.64,0.6,3,,
C-147-01,Tracker,342473.5997,3312219.436,2,45,3.92,2,,
C-147-01,Bridge,342475.5587,3312219.096,3,0.64,0.6,3,,
C-147-01,Tracker,342473.5997,3312173.678,4,45,3.92,2,,
C-147-01,Dock,342473.5464,3312173.253,5,1.05,0.9,0,Central,South
C-147-01,Tracker,342473.5997,3312127.72,6,45,3.92,2,,
C-147-01,Bridge,342475.5587,3312127.38,7,0.64,0.6,3,,
C-147-01,Tracker,342473.5997,3312081.962,8,45,3.92,2,,
,Gap,342475.5587,3312081.622,0,0.64,-1,0,,
C-147-02,Tracker,342473.5997,3312036.204,0,45,3.92,2,,
C-147-02,Bridge,342475.5587,3312035.864,1,0.64,0.6,3,,
C-147-02,Tracker,342473.5997,3311990.446,2,45,3.92,2,,
C-147-02,Dock,342473.5997,3311990.021,3,1.05,0.9,0,Central,South
C-147-02,Tracker,342473.5997,3311944.488,4,45,3.92,2,,
C-147-02,Bridge,342475.5587,3311944.148,5,0.64,0.6,3,,
C-147-02,Tracker,342473.5997,3311898.73,6,45,3.92,2,,
C-147-02,Bridge,342475.5587,3311898.39,7,0.82,0.6,3,,
C-147-02,Tracker,342473.5997,3311852.972,8,45,3.92,2,,
,Gap,342475.5587,3311852.632,0,0.82,-1,0,,
C-147-03,Tracker,342473.5997,3311807.214,0,45,3.92,2,,
C-147-03,Dock,342473.5997,3311806.789,1,1.05,0.9,0,Central,South
C-147-03,Tracker,342473.5997,3311761.256,2,45,3.92,2,,
C-147-03,Bridge,342475.5587,3311760.916,3,0.82,0.6,3,,
C-147-03,Tracker,342473.5997,3311715.498,4,45,3.92,2,,
C-147-03,Bridge,342475.5587,3311715.158,5,0.82,0.6,3,,
C-147-03,Tracker,342473.5997,3311684.755,6,30,3.92,2,,
C-147-03,Bridge,342475.5587,3311684.415,7,0.64,0.6,3,,
C-147-03,Tracker,342473.5997,3311653.997,8,30,3.92,2,,
C-148-01,Tracker,342484.3997,3312259.244,0,45,3.92,2,,
C-148-01,Bridge,342486.3587,3312258.904,1,0.82,0.6,3,,
C-148-01,Tracker,342484.3997,3312213.486,2,45,3.92,2,,
C-148-01,Bridge,342486.3587,3312213.146,3,0.82,0.6,3,,
C-148-01,Tracker,342484.3997,3312167.728,4,45,3.92,2,,
C-148-01,Dock,342484.3464,3312167.303,5,1.05,0.9,0,Central,South
