Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
B-029-01,Tracker,341879.5997,3313294.754,2,30,3.92,2,,
B-029-01,Bridge,341881.5587,3313294.414,3,0.82,0.6,3,,
B-029-01,Tracker,341879.5997,3313248.981,4,45,3.92,2,,
B-029-01,Dock,341879.5464,3313248.556,5,1.05,0.9,0,Central,South
B-029-01,Tracker,341879.5997,3313203.023,6,45,3.92,2,,
B-029-01,Bridge,341881.5587,3313202.683,7,0.64,0.6,3,,
B-029-01,Tracker,341879.5997,3313157.265,8,45,3.92,2,,
,Gap,341881.5587,3313156.925,0,0.64,-1,0,,
B-029-02,Tracker,341879.5997,3313111.507,0,45,3.92,2,,
B-029-02,Bridge,341881.5587,3313111.167,1,0.64,0.6,3,,
B-029-02,Tracker,341879.5997,3313065.749,2,45,3.92,2,,
B-029-02,Bridge,341881.5587,3313065.409,3,0.64,0.6,3,,
B-029-02,Tracker,341879.5997,3313019.991,4,45,3.92,2,,
B-029-02,Dock,341879.5464,3313019.566,5,1.05,0.9,0,Central,South
B-029-02,Tracker,341879.5997,3312974.033,6,45,3.92,2,,
B-029-02,Bridge,341881.5587,3312973.693,7,0.64,0.6,3,,
B-029-02,Tracker,341879.5997,3312928.275,8,45,3.92,2,,
B-029-02,Bridge,341881.5587,3312927.935,9,0.64,0.6,3,,
B-029-02,Tracker,341879.5997,3312882.517,10,45,3.92,2,,
,Gap,341881.5587,3312882.177,0,0.64,-1,0,,
B-029-03,Tracker,341879.5997,3312836.759,0,45,3.92,2,,
B-029-03,Bridge,341881.5587,3312836.419,1,0.82,0.6,3,,
B-029-03,Tracker,341879.5997,3312791.001,2,45,3.92,2,,
B-029-03,Bridge,341881.5587,3312790.661,3,0.64,0.6,3,,
B-029-03,Tracker,341879.5997,3312745.243,4,45,3.92,2,,
B-029-03,Dock,341879.5464,3312744.818,5,1.05,0.9,0,Central,South
B-029-03,Tracker,341879.5997,3312699.285,6,45,3.92,2,,
B-029-03,Bridge,341881.5587,3312698.945,7,0.64,0.6,3,,
B-029-03,Tracker,341879.5997,3312653.527,8,45,3.92,2,,
B-030-01,Tracker,341890.3997,3313319.562,0,30,3.92,2,,
B-030-01,Bridge,341892.3587,3313319.222,1,0.64,0.6,3,,
B-030-01,Tracker,341890.3997,3313288.804,2,30,3.92,2,,
B-030-01,Bridge,341892.3587,3313288.464,3,0.64,0.6,3,,
B-030-01,Tracker,341890.3997,3313243.031,4,45,3.92,2,,
B-030-01,Dock,341890.3464,3313242.606,5,0.75,0.9,0,Central,South
B-030-01,Tracker,341890.3997,3313197.073,6,45,3.92,2,,
B-030-01,Bridge,341892.3587,3313196.733,7,0.64,0.6,3,,
B-030-01,Tracker,341890.3997,3313151.315,8,45,3.92,2,,
,Gap,341892.3587,3313150.975,0,0.64,-1,0,,
B-030-02,Tracker,341890.3997,3313105.557,0,45,3.92,2,,
B-030-02,Bridge,341892.3587,3313105.217,1,0.64,0.6,3,,
B-030-02,Tracker,341890.3997,3313059.799,2,45,3.92,2,,
B-030-02,Bridge,341892.3587,3313059.459,3,0.64,0.6,3,,
B-030-02,Tracker,341890.3997,3313014.041,4,45,3.92,2,,
B-030-02,Dock,341890.3464,3313013.616,5,1.05,0.9,0,Central,South
B-030-02,Tracker,341890.3997,3312968.083,6,45,3.92,2,,
B-030-02,Bridge,341892.3587,3312967.743,7,0.64,0.6,3,,
B-030-02,Tracker,341890.3997,3312922.325,8,45,3.92,2,,
B-030-02,Bridge,341892.3587,3312921.985,9,0.64,0.6,3,,
B-030-02,Tracker,341890.3997,3312876.567,10,45,3.92,2,,
,Gap,341892.3587,3312876.227,0,0.64,-1,0,,
B-030-03,Tracker,341890.3997,3312830.809,0,45,3.92,2,,
B-030-03,Bridge,341892.3587,3312830.469,1,0.64,0.6,3,,
B-030-03,Tracker,341890.3997,3312785.051,2,45,3.92,2,,
B-030-03,Bridge,341892.3587,3312784.711,3,0.64,0.6,3,,
B-030-03,Tracker,341890.3997,3312739.293,4,45,3.92,2,,
B-030-03,Dock,341890.3464,3312738.868,5,0.75,0.9,0,Central,South
B-030-03,Tracker,341890.3997,3312693.335,6,45,3.92,2,,
B-030-03,Bridge,341892.3587,3312692.995,7,0.64,0.6,3,,
B-030-03,Tracker,341890.3997,3312647.577,8,45,3.92,2,,
B-031-01,Tracker,341901.1997,3313313.612,0,30,3.92,2,,
B-031-01,Bridge,341903.1587,3313313.272,1,0.82,0.6,3,,
B-031-01,Tracker,341901.1997,3313282.854,2,30,3.92,2,,
B-031-01,Bridge,341903.1587,3313282.514,3,0.64,0.6,3,,
B-031-01,Tracker,341901.1997,3313237.081,4,45,3.92,2,,
B-031-01,Dock,341901.1464,3313236.656,5,1.05,0.9,0,Central,South
B-031-01,Tracker,341901.1997,3313191.123,6,45,3.92,2,,
B-031-01,Bridge,341903.1587,3313190.783,7,0.64,0.6,3,,
B-031-01,Tracker,341901.1997,3313145.365,8,45,3.92,2,,
,Gap,341903.1587,3313145.025,0,0.64,-1,0,,
B-031-02,Tracker,341901.1997,3313099.607,0,45,3.92,2,,
B-031-02,Bridge,341903.1587,3313099.267,1,0.64,0.6,3,,
B-031-02,Tracker,341901.1997,3313053.849,2,45,3.92,2,,
B-031-02,Bridge,341903.1587,3313053.509,3,0.64,0.6,3,,
B-031-02,Tracker,341901.1997,3313008.091,4,45,3.92,2,,
B-031-02,Dock,341901.1464,3313007.666,5,0.72,0.9,0,Central,South
B-031-02,Tracker,341901.1997,3312962.133,6,45,3.92,2,,
B-031-02,Bridge,341903.1587,3312961.793,7,0.64,0.6,3,,
B-031-02,Tracker,341901.1997,3312916.375,8,45,3.92,2,,
B-031-02,Bridge,341903.1587,3312916.035,9,0.64,0.6,3,,
B-031-02,Tracker,341901.1997,3312870.617,10,45,3.92,2,,
,Gap,341903.1587,3312870.277,0,0.64,-1,0,,
B-031-03,Tracker,341901.1997,3312824.859,0,45,3.92,2,,
B-031-03,Bridge,341903.1587,3312824.519,1,0.64,0.6,3,,
B-031-03,Tracker,341901.1997,3312779.101,2,45,3.92,2,,
B-031-03,Bridge,341903.1587,3312778.761,3,0.82,0.6,3,,
B-031-03,Tracker,341901.1997,3312733.343,4,45,3.92,2,,
B-031-03,Dock,341901.1464,3312732.918,5,1.05,0.9,0,Central,South
B-031-03,Tracker,341901.1997,3312687.385,6,45,3.92,2,,
B-031-03,Bridge,341903.1587,3312687.045,7,0.64,0.6,3,,
B-031-03,Tracker,341901.1997,3312641.627,8,45,3.92,2,,
B-032-01,Tracker,341911.9997,3313307.662,0,30,3.92,2,,
B-032-01,Bridge,341913.9587,3313307.322,1,0.82,0.6,3,,
B-032-01,Tracker,341911.9997,3313276.904,2,30,3.92,2,,
B-032-01,Bridge,341913.9587,3313276.564,3,0.64,0.6,3,,
B-032-01,Tracker,341911.9997,3313231.131,4,45,3.92,2,,
B-032-01,Dock,341911.9464,3313230.706,5,1.05,0.9,0,Central,South
B-032-01,Tracker,341911.9997,3313185.173,6,45,3.92,2,,
B-032-01,Bridge,341913.9587,3313184.833,7,0.64,0.6,3,,
B-032-01,Tracker,341911.9997,3313139.415,8,45,3.92,2,,
,Gap,341913.9587,3313139.075,0,0.64,-1,0,,
B-032-02,Tracker,341911.9997,3313093.657,0,45,3.92,2,,
B-032-02,Bridge,341913.9587,3313093.317,1,0.64,0.6,3,,
B-032-02,Tracker,341911.9997,3313047.899,2,45,3.92,2,,
B-032-02,Bridge,341913.9587,3313047.559,3,0.64,0.6,3,,
B-032-02,Tracker,341911.9997,3313002.141,4,45,3.92,2,,
B-032-02,Dock,341911.9464,3313001.716,5,1.05,0.9,0,Central,South
B-032-02,Tracker,341911.9997,3312956.183,6,45,3.92,2,,
B-032-02,Bridge,341913.9587,3312955.843,7,0.64,0.6,3,,
B-032-02,Tracker,341911.9997,3312910.425,8,45,3.92,2,,
B-032-02,Bridge,341913.9587,3312910.085,9,0.64,0.6,3,,
B-032-02,Tracker,341911.9997,3312864.667,10,45,3.92,2,,
,Gap,341913.9587,3312864.327,0,0.64,-1,0,,
B-032-03,Tracker,341911.9997,3312818.909,0,45,3.92,2,,
B-032-03,Bridge,341913.9587,3312818.569,1,0.64,0.6,3,,
B-032-03,Tracker,341911.9997,3312773.151,2,45,3.92,2,,
B-032-03,Bridge,341913.9587,3312772.811,3,0.64,0.6,3,,
B-032-03,Tracker,341911.9997,3312727.393,4,45,3.92,2,,
B-032-03,Dock,341911.9464,3312726.968,5,0.75,0.9,0,Central,South
B-032-03,Tracker,341911.9997,3312681.435,6,45,3.92,2,,
B-032-03,Bridge,341913.9587,3312681.095,7,0.64,0.6,3,,
B-032-03,Tracker,341911.9997,3312635.677,8,45,3.92,2,,
B-033-01,Tracker,341922.7997,3313301.712,0,30,3.92,2,,
B-033-01,Bridge,341924.7587,3313301.372,1,0.82,0.6,3,,
B-033-01,Tracker,341922.7997,3313270.954,2,30,3.92,2,,
B-033-01,Bridge,341924.7587,3313270.614,3,0.64,0.6,3,,
B-033-01,Tracker,341922.7997,3313225.181,4,45,3.92,2,,
B-033-01,Dock,341922.7464,3313224.756,5,1.05,0.9,0,Central,South
B-033-01,Tracker,341922.7997,3313179.223,6,45,3.92,2,,
B-033-01,Bridge,341924.7587,3313178.883,7,0.64,0.6,3,,
B-033-01,Tracker,341922.7997,3313133.465,8,45,3.92,2,,
,Gap,341924.7587,3313133.125,0,0.64,-1,0,,
B-033-02,Tracker,341922.7997,3313087.707,0,45,3.92,2,,
B-033-02,Bridge,341924.7587,3313087.367,1,0.64,0.6,3,,
B-033-02,Tracker,341922.7997,3313041.949,2,45,3.92,2,,
B-033-02,Bridge,341924.7587,3313041.609,3,0.64,0.6,3,,
B-033-02,Tracker,341922.7997,3312996.191,4,45,3.92,2,,
B-033-02,Dock,341922.7464,3312995.766,5,1.05,0.9,0,Central,South
B-033-02,Tracker,341922.7997,3312950.233,6,45,3.92,2,,
B-033-02,Bridge,341924.7587,3312949.893,7,0.64,0.6,3,,
B-033-02,Tracker,341922.7997,3312904.475,8,45,3.92,2,,
B-033-02,Bridge,341924.7587,3312904.135,9,0.64,0.6,3,,
B-033-02,Tracker,341922.7997,3312858.717,10,45,3.92,2,,
,Gap,341924.7587,3312858.377,0,0.64,-1,0,,
B-033-03,Tracker,341922.7997,3312812.959,0,45,3.92,2,,
B-033-03,Bridge,341924.7587,3312812.619,1,0.64,0.6,3,,
B-033-03,Tracker,341922.7997,3312767.201,2,45,3.92,2,,
B-033-03,Bridge,341924.7587,3312766.861,3,0.64,0.6,3,,
B-033-03,Tracker,341922.7997,3312721.443,4,45,3.92,2,,
B-033-03,Dock,341922.7464,3312721.018,5,1.05,0.9,0,Central,South
B-033-03,Tracker,341922.7997,3312675.485,6,45,3.92,2,,
B-033-03,Bridge,341924.7587,3312675.145,7,0.64,0.6,3,,
B-033-03,Tracker,341922.7997,3312629.727,8,45,3.92,2,,
B-034-01,Tracker,341933.5997,3313295.762,0,30,3.92,2,,
B-034-01,Bridge,341935.5587,3313295.422,1,0.82,0.6,3,,
B-034-01,Tracker,341933.5997,3313265.004,2,30,3.92,2,,
B-034-01,Bridge,341935.5587,3313264.664,3,0.82,0.6,3,,
B-034-01,Tracker,341933.5997,3313219.231,4,45,3.92,2,,
B-034-01,Dock,341933.5464,3313218.806,5,1.05,0.9,0,Central,South
B-034-01,Tracker,341933.5997,3313173.273,6,45,3.92,2,,
B-034-01,Bridge,341935.5587,3313172.933,7,0.64,0.6,3,,
B-034-01,Tracker,341933.5997,3313127.515,8,45,3.92,2,,
,Gap,341935.5587,3313127.175,0,0.64,-1,0,,
B-034-02,Tracker,341933.5997,3313081.757,0,45,3.92,2,,
B-034-02,Bridge,341935.5587,3313081.417,1,0.64,0.6,3,,
B-034-02,Tracker,341933.5997,3313035.999,2,45,3.92,2,,
B-034-02,Bridge,341935.5587,3313035.659,3,0.64,0.6,3,,
B-034-02,Tracker,341933.5997,3312990.241,4,45,3.92,2,,
B-034-02,Dock,341933.5464,3312989.816,5,1.05,0.9,0,Central,South
B-034-02,Tracker,341933.5997,3312944.283,6,45,3.92,2,,
B-034-02,Bridge,341935.5587,3312943.943,7,0.64,0.6,3,,
B-034-02,Tracker,341933.5997,3312898.525,8,45,3.92,2,,
B-034-02,Bridge,341935.5587,3312898.185,9,0.64,0.6,3,,
B-034-02,Tracker,341933.5997,3312852.767,10,45,3.92,2,,
,Gap,341935.5587,3312852.427,0,0.64,-1,0,,
B-034-03,Tracker,341933.5997,3312807.009,0,45,3.92,2,,
B-034-03,Bridge,341935.5587,3312806.669,1,0.64,0.6,3,,
B-034-03,Tracker,341933.5997,3312761.251,2,45,3.92,2,,
B-034-03,Dock,341933.5464,3312760.826,3,1.05,0.9,0,Central,South
B-034-03,Tracker,341933.5997,3312715.293,4,45,3.92,2,,
B-034-03,Bridge,341935.5587,3312714.953,5,0.64,0.6,3,,
B-034-03,Tracker,341933.5997,3312669.535,6,45,3.92,2,,
B-035-01,Tracker,341944.3997,3313289.812,0,30,3.92,2,,
B-035-01,Bridge,341946.3587,3313289.472,1,0.82,0.6,3,,
B-035-01,Tracker,341944.3997,3313259.054,2,30,3.92,2,,
B-035-01,Bridge,341946.3587,3313258.714,3,0.82,0.6,3,,
B-035-01,Tracker,341944.3997,3313213.281,4,45,3.92,2,,
B-035-01,Dock,341944.3464,3313212.856,5,1.05,0.9,0,Central,South
B-035-01,Tracker,341944.3997,3313167.323,6,45,3.92,2,,
B-035-01,Bridge,341946.3587,3313166.983,7,0.64,0.6,3,,
B-035-01,Tracker,341944.3997,3313121.565,8,45,3.92,2,,
,Gap,341946.3587,3313121.225,0,0.64,-1,0,,
B-035-02,Tracker,341944.3997,3313075.807,0,45,3.92,2,,
B-035-02,Bridge,341946.3587,3313075.467,1,0.64,0.6,3,,
B-035-02,Tracker,341944.3997,3313030.049,2,45,3.92,2,,
B-035-02,Bridge,341946.3587,3313029.709,3,0.64,0.6,3,,
B-035-02,Tracker,341944.3997,3312984.291,4,45,3.92,2,,
B-035-02,Dock,341944.3464,3312983.866,5,1.05,0.9,0,Central,South
B-035-02,Tracker,341944.3997,3312938.333,6,45,3.92,2,,
B-035-02,Bridge,341946.3587,3312937.993,7,0.64,0.6,3,,
B-035-02,Tracker,341944.3997,3312892.575,8,45,3.92,2,,
B-035-02,Bridge,341946.3587,3312892.235,9,0.64,0.6,3,,
B-035-02,Tracker,341944.3997,3312846.817,10,45,3.92,2,,
,Gap,341946.3587,3312846.477,0,0.64,-1,0,,
B-035-03,Tracker,341944.3997,3312801.059,0,45,3.92,2,,
B-035-03,Bridge,341946.3587,3312800.719,1,0.64,0.6,3,,
B-035-03,Tracker,341944.3997,3312755.301,2,45,3.92,2,,
B-035-03,Bridge,341946.3587,3312754.961,3,0.64,0.6,3,,
B-035-03,Tracker,341944.3997,3312709.543,4,45,3.92,2,,
B-035-03,Dock,341944.3464,3312709.103,5,1.05,0.9,0,Central,South
B-035-03,Tracker,341944.3997,3312678.6,6,30,3.92,2,,
B-035-03,Bridge,341946.3587,3312678.26,7,0.64,0.6,3,,
B-035-03,Tracker,341944.3997,3312647.842,8,30,3.92,2,,
B-035-03,Bridge,341946.3587,3312647.502,9,0.82,0.6,3,,
B-035-03,Tracker,341944.3997,3312617.084,10,30,3.92,2,,
B-036-01,Tracker,341955.1997,3313283.861,0,30,3.92,2,,
B-036-01,Bridge,341957.1587,3313283.521,1,0.64,0.6,3,,
B-036-01,Tracker,341955.1997,3313253.103,2,30,3.92,2,,
B-036-01,Bridge,341957.1587,3313252.763,3,0.64,0.6,3,,
B-036-01,Tracker,341955.1997,3313207.33,4,45,3.92,2,,
B-036-01,Dock,341955.1464,3313206.905,5,1.05,0.9,0,Central,South
B-036-01,Tracker,341955.1997,3313161.372,6,45,3.92,2,,
B-036-01,Bridge,341957.1587,3313161.032,7,0.64,0.6,3,,
B-036-01,Tracker,341955.1997,3313115.614,8,45,3.92,2,,
,Gap,341957.1587,3313115.274,0,0.64,-1,0,,
B-036-02,Tracker,341955.1997,3313069.856,0,45,3.92,2,,
B-036-02,Bridge,341957.1587,3313069.516,1,0.64,0.6,3,,
B-036-02,Tracker,341955.1997,3313024.098,2,45,3.92,2,,
B-036-02,Bridge,341957.1587,3313023.758,3,0.64,0.6,3,,
B-036-02,Tracker,341955.1997,3312978.34,4,45,3.92,2,,
B-036-02,Dock,341955.1464,3312977.915,5,1.05,0.9,0,Central,South
B-036-02,Tracker,341955.1997,3312932.382,6,45,3.92,2,,
B-036-02,Bridge,341957.1587,3312932.042,7,0.64,0.6,3,,
B-036-02,Tracker,341955.1997,3312886.624,8,45,3.92,2,,
B-036-02,Bridge,341957.1587,3312886.284,9,0.64,0.6,3,,
B-036-02,Tracker,341955.1997,3312840.866,10,45,3.92,2,,
,Gap,341957.1587,3312840.526,0,0.64,-1,0,,
B-036-03,Tracker,341955.1997,3312795.108,0,45,3.92,2,,
B-036-03,Bridge,341957.1587,3312794.768,1,0.64,0.6,3,,
B-036-03,Tracker,341955.1997,3312749.35,2,45,3.92,2,,
B-036-03,Bridge,341957.1587,3312749.01,3,0.64,0.6,3,,
B-036-03,Tracker,341955.1997,3312703.592,4,45,3.92,2,,
B-036-03,Dock,341955.1464,3312703.152,5,1.05,0.9,0,Central,South
B-036-03,Tracker,341955.1997,3312672.649,6,30,3.92,2,,
B-036-03,Bridge,341957.1587,3312672.309,7,0.82,0.6,3,,
B-036-03,Tracker,341955.1997,3312641.891,8,30,3.92,2,,
B-036-03,Bridge,341957.1587,3312641.551,9,0.64,0.6,3,,
B-036-03,Tracker,341955.1997,3312611.133,10,30,3.92,2,,
B-037-01,Tracker,341965.9997,3313277.911,0,30,3.92,2,,
B-037-01,Bridge,341967.9587,3313277.571,1,0.82,0.6,3,,
B-037-01,Tracker,341965.9997,3313247.153,2,30,3.92,2,,
B-037-01,Bridge,341967.9587,3313246.813,3,0.82,0.6,3,,
B-037-01,Tracker,341965.9997,3313201.38,4,45,3.92,2,,
B-037-01,Dock,341965.9464,3313200.955,5,1.05,0.9,0,Central,South
B-037-01,Tracker,341965.9997,3313155.422,6,45,3.92,2,,
B-037-01,Bridge,341967.9587,3313155.082,7,0.64,0.6,3,,
B-037-01,Tracker,341965.9997,3313109.664,8,45,3.92,2,,
,Gap,341967.9587,3313109.324,0,0.64,-1,0,,
B-037-02,Tracker,341965.9997,3313063.906,0,45,3.92,2,,
B-037-02,Bridge,341967.9587,3313063.566,1,0.64,0.6,3,,
B-037-02,Tracker,341965.9997,3313018.148,2,45,3.92,2,,
B-037-02,Bridge,341967.9587,3313017.808,3,0.64,0.6,3,,
B-037-02,Tracker,341965.9997,3312972.39,4,45,3.92,2,,
B-037-02,Dock,341965.9464,3312971.965,5,0.75,0.9,0,Central,South
B-037-02,Tracker,341965.9997,3312926.432,6,45,3.92,2,,
B-037-02,Bridge,341967.9587,3312926.092,7,0.64,0.6,3,,
B-037-02,Tracker,341965.9997,3312880.674,8,45,3.92,2,,
B-037-02,Bridge,341967.9587,3312880.334,9,0.64,0.6,3,,
B-037-02,Tracker,341965.9997,3312834.916,10,45,3.92,2,,
,Gap,341967.9587,3312834.576,0,0.64,-1,0,,
B-037-03,Tracker,341965.9997,3312789.158,0,45,3.92,2,,
B-037-03,Bridge,341967.9587,3312788.818,1,0.64,0.6,3,,
B-037-03,Tracker,341965.9997,3312743.4,2,45,3.92,2,,
B-037-03,Bridge,341967.9587,3312743.06,3,0.64,0.6,3,,
B-037-03,Tracker,341965.9997,3312697.642,4,45,3.92,2,,
B-037-03,Dock,341965.9464,3312697.217,5,1.05,0.9,0,Central,South
B-037-03,Tracker,341965.9997,3312651.684,6,45,3.92,2,,
B-037-03,Bridge,341967.9587,3312651.344,7,0.64,0.6,3,,
B-037-03,Tracker,341965.9997,3312605.926,8,45,3.92,2,,
B-038-01,Tracker,341976.7997,3313271.961,0,30,3.92,2,,
B-038-01,Bridge,341978.7587,3313271.621,1,0.64,0.6,3,,
B-038-01,Tracker,341976.7997,3313241.203,2,30,3.92,2,,
B-038-01,Bridge,341978.7587,3313240.863,3,0.64,0.6,3,,
B-038-01,Tracker,341976.7997,3313195.43,4,45,3.92,2,,
B-038-01,Dock,341976.7464,3313195.005,5,0.75,0.9,0,Central,South
B-038-01,Tracker,341976.7997,3313149.472,6,45,3.92,2,,
B-038-01,Bridge,341978.7587,3313149.132,7,0.64,0.6,3,,
B-038-01,Tracker,341976.7997,3313103.714,8,45,3.92,2,,
,Gap,341978.7587,3313103.374,0,0.64,-1,0,,
B-038-02,Tracker,341976.7997,3313057.956,0,45,3.92,2,,
B-038-02,Bridge,341978.7587,3313057.616,1,0.64,0.6,3,,
B-038-02,Tracker,341976.7997,3313012.198,2,45,3.92,2,,
B-038-02,Bridge,341978.7587,3313011.858,3,0.64,0.6,3,,
B-038-02,Tracker,341976.7997,3312966.44,4,45,3.92,2,,
B-038-02,Dock,341976.7464,3312966.015,5,1.05,0.9,0,Central,South
B-038-02,Tracker,341976.7997,3312920.482,6,45,3.92,2,,
B-038-02,Bridge,341978.7587,3312920.142,7,0.64,0.6,3,,
B-038-02,Tracker,341976.7997,3312874.724,8,45,3.92,2,,
B-038-02,Bridge,341978.7587,3312874.384,9,0.64,0.6,3,,
B-038-02,Tracker,341976.7997,3312828.966,10,45,3.92,2,,
,Gap,341978.7587,3312828.626,0,0.64,-1,0,,
B-038-03,Tracker,341976.7997,3312783.208,0,45,3.92,2,,
B-038-03,Bridge,341978.7587,3312782.868,1,0.64,0.6,3,,
B-038-03,Tracker,341976.7997,3312737.45,2,45,3.92,2,,
B-038-03,Bridge,341978.7587,3312737.11,3,0.64,0.6,3,,
B-038-03,Tracker,341976.7997,3312691.692,4,45,3.92,2,,
B-038-03,Dock,341976.7464,3312691.267,5,0.75,0.9,0,Central,South
B-038-03,Tracker,341976.7997,3312645.734,6,45,3.92,2,,
B-038-03,Bridge,341978.7587,3312645.394,7,0.64,0.6,3,,
B-038-03,Tracker,341976.7997,3312599.976,8,45,3.92,2,,
B-039-01,Tracker,341987.5997,3313266.011,0,30,3.92,2,,
B-039-01,Bridge,341989.5587,3313265.671,1,0.82,0.6,3,,
B-039-01,Tracker,341987.5997,3313235.253,2,30,3.92,2,,
B-039-01,Bridge,341989.5587,3313234.913,3,0.64,0.6,3,,
B-039-01,Tracker,341987.5997,3313189.48,4,45,3.92,2,,
B-039-01,Dock,341987.5464,3313189.055,5,1.05,0.9,0,Central,South
B-039-01,Tracker,341987.5997,3313143.522,6,45,3.92,2,,
B-039-01,Bridge,341989.5587,3313143.182,7,0.64,0.6,3,,
B-039-01,Tracker,341987.5997,3313097.764,8,45,3.92,2,,
,Gap,341989.5587,3313097.424,0,0.64,-1,0,,
B-039-02,Tracker,341987.5997,3313052.006,0,45,3.92,2,,
B-039-02,Bridge,341989.5587,3313051.666,1,0.64,0.6,3,,
B-039-02,Tracker,341987.5997,3313006.248,2,45,3.92,2,,
B-039-02,Bridge,341989.5587,3313005.908,3,0.64,0.6,3,,
B-039-02,Tracker,341987.5997,3312960.49,4,45,3.92,2,,
B-039-02,Dock,341987.5464,3312960.065,5,1.05,0.9,0,Central,South
B-039-02,Tracker,341987.5997,3312914.532,6,45,3.92,2,,
B-039-02,Bridge,341989.5587,3312914.192,7,0.64,0.6,3,,
B-039-02,Tracker,341987.5997,3312868.774,8,45,3.92,2,,
B-039-02,Bridge,341989.5587,3312868.434,9,0.64,0.6,3,,
B-039-02,Tracker,341987.5997,3312823.016,10,45,3.92,2,,
,Gap,341989.5587,3312822.676,0,0.64,-1,0,,
B-039-03,Tracker,341987.5997,3312777.258,0,45,3.92,2,,
B-039-03,Bridge,341989.5587,3312776.918,1,0.64,0.6,3,,
B-039-03,Tracker,341987.5997,3312731.5,2,45,3.92,2,,
B-039-03,Bridge,341989.5587,3312731.16,3,0.64,0.6,3,,
B-039-03,Tracker,341987.5997,3312685.742,4,45,3.92,2,,
B-039-03,Dock,341987.5464,3312685.317,5,1.05,0.9,0,Central,South
B-039-03,Tracker,341987.5997,3312639.784,6,45,3.92,2,,
B-039-03,Bridge,341989.5587,3312639.444,7,0.64,0.6,3,,
B-039-03,Tracker,341987.5997,3312594.026,8,45,3.92,2,,
B-040-01,Tracker,341998.3997,3313275.061,0,30,3.92,2,,
B-040-01,Bridge,342000.3587,3313274.721,1,0.64,0.6,3,,
B-040-01,Tracker,341998.3997,3313229.288,2,45,3.92,2,,
B-040-01,Bridge,342000.3587,3313228.948,3,0.64,0.6,3,,
B-040-01,Tracker,341998.3997,3313183.53,4,45,3.92,2,,
B-040-01,Dock,341998.3464,3313183.105,5,1.05,0.9,0,Central,South
B-040-01,Tracker,341998.3997,3313137.572,6,45,3.92,2,,
B-040-01,Bridge,342000.3587,3313137.232,7,0.64,0.6,3,,
B-040-01,Tracker,341998.3997,3313091.814,8,45,3.92,2,,
,Gap,342000.3587,3313091.474,0,0.64,-1,0,,
B-040-02,Tracker,341998.3997,3313046.056,0,45,3.92,2,,
B-040-02,Bridge,342000.3587,3313045.716,1,0.64,0.6,3,,
B-040-02,Tracker,341998.3997,3313000.298,2,45,3.92,2,,
B-040-02,Bridge,342000.3587,3312999.958,3,0.64,0.6,3,,
B-040-02,Tracker,341998.3997,3312954.54,4,45,3.92,2,,
B-040-02,Dock,341998.3464,3312954.115,5,1.05,0.9,0,Central,South
B-040-02,Tracker,341998.3997,3312908.582,6,45,3.92,2,,
B-040-02,Bridge,342000.3587,3312908.242,7,0.64,0.6,3,,
B-040-02,Tracker,341998.3997,3312862.824,8,45,3.92,2,,
B-040-02,Bridge,342000.3587,3312862.484,9,0.64,0.6,3,,
B-040-02,Tracker,341998.3997,3312817.066,10,45,3.92,2,,
,Gap,342000.3587,3312816.726,0,0.64,-1,0,,
B-040-03,Tracker,341998.3997,3312771.308,0,45,3.92,2,,
B-040-03,Bridge,342000.3587,3312770.968,1,0.64,0.6,3,,
B-040-03,Tracker,341998.3997,3312725.55,2,45,3.92,2,,
B-040-03,Bridge,342000.3587,3312725.21,3,0.64,0.6,3,,
B-040-03,Tracker,341998.3997,3312679.792,4,45,3.92,2,,
B-040-03,Dock,341998.3464,3312679.367,5,1.05,0.9,0,Central,South
B-040-03,Tracker,341998.3997,3312633.834,6,45,3.92,2,,
B-040-03,Bridge,342000.3587,3312633.494,7,0.64,0.6,3,,
B-040-03,Tracker,341998.3997,3312588.076,8,45,3.92,2,,
B-041-01,Tracker,342009.1997,3313269.111,0,30,3.92,2,,
B-041-01,Bridge,342011.3402,3313268.935,1,0.64,0.6,3,,
B-041-01,Tracker,342009.1997,3313223.338,2,45,3.92,2,,
B-041-01,Bridge,342011.1587,3313222.998,3,0.64,0.6,3,,
B-041-01,Tracker,342009.1997,3313177.58,4,45,3.92,2,,
B-041-01,Dock,342009.1464,3313177.155,5,1.05,0.9,0,Central,South
B-041-01,Tracker,342009.1997,3313131.622,6,45,3.92,2,,
B-041-01,Bridge,342011.1587,3313131.282,7,0.64,0.6,3,,
B-041-01,Tracker,342009.1997,3313085.864,8,45,3.92,2,,
,Gap,342011.1587,3313085.524,0,0.64,-1,0,,
B-041-02,Tracker,342009.1997,3313040.106,0,45,3.92,2,,
B-041-02,Bridge,342011.1587,3313039.766,1,0.64,0.6,3,,
B-041-02,Tracker,342009.1997,3312994.348,2,45,3.92,2,,
B-041-02,Bridge,342011.1587,3312994.008,3,0.64,0.6,3,,
B-041-02,Tracker,342009.1997,3312948.59,4,45,3.92,2,,
B-041-02,Dock,342009.1464,3312948.165,5,0.75,0.9,0,Central,South
B-041-02,Tracker,342009.1997,3312902.632,6,45,3.92,2,,
B-041-02,Bridge,342011.1587,3312902.292,7,0.64,0.6,3,,
