Block,Array,Row,Entity,Entity Name,Position X,Position Y,Area,Gap,Soltec Name,Full,docking,tracker length,bridge type
A,A-007,A-007-01,Bridge,A-007-01-B06/14,342119.1587,3313300.348,,65-82,,ANG2-A-007-01-B06/14,,,
A,A-007,A-007-01,Tracker,A-007-01-T08/15,342117.1997,3313269.93,120,,TR 17.A.03.9,ANG2-A-007-01-T08/15,,,
A,A-008,A-008-01,Tracker,A-008-01-T01/01,342127.9997,3313539.471,180,,TR 19.A.04.1,ANG2-A-008-01-T01/01,,,
A,A-008,A-008-01,Bridge,A-008-01-B01/02,342129.9587,3313539.131,,40-64,,ANG2-A-008-01-B01/02,,,
A,A-008,A-008-01,Tracker,A-008-01-T02/03,342127.9997,3313493.713,180,,TR 19.A.03.2,ANG2-A-008-01-T02/03,,,
A,A-008,A-008-01,Bridge,A-008-01-B02/04,342129.9587,3313493.373,,40-64,,ANG2-A-008-01-B02/04,,,
A,A-008,A-008-01,Tracker,A-008-01-T03/05,342127.9997,3313447.955,180,,TR 19.A.03.1,ANG2-A-008-01-T03/05,,,
A,A-008,A-008-01,Bridge,A-008-01-B03/06,342129.9587,3313447.615,,40-64,,ANG2-A-008-01-B03/06,,,
A,A-008,A-008-01,Tracker,A-008-01-T04/07,342127.9997,3313402.197,180,,TR 19.A.13.2,ANG2-A-008-01-T04/07,,,
A,A-008,A-008-01,Dock,A-008-01-D01/08,342127.9464,3313401.772,,76-105,,ANG2-A-008-01-D01/08,,,
A,A-008,A-008-01,Tracker,A-008-01-T05/09,342127.9997,3313356.239,180,,TR 19.A.13.5,ANG2-A-008-01-T05/09,,,
A,A-008,A-008-01,Bridge,A-008-01-B04/10,342129.9587,3313355.899,,40-64,,ANG2-A-008-01-B04/10,,,
A,A-008,A-008-01,Tracker,A-008-01-T06/11,342127.9997,3313325.496,120,,TR 17.A.04.2,ANG2-A-008-01-T06/11,,,
A,A-008,A-008-01,Bridge,A-008-01-B05/12,342129.9587,3313325.156,,40-64,,ANG2-A-008-01-B05/12,,,
A,A-008,A-008-01,Tracker,A-008-01-T07/13,342127.9997,3313294.738,120,,TR 17.A.04.5,ANG2-A-008-01-T07/13,,,
A,A-008,A-008-01,Bridge,A-008-01-B06/14,342129.9587,3313294.398,,40-64,,ANG2-A-008-01-B06/14,,,
